,Rank,Name,Team,Position,FPTS,AVG,Auction Price
0,1,Aaron Rodgers,GB,QB,429.27,26.8,$13
1,2,Josh Allen,BUF,QB,411.62,25.7,$20
2,3,Patrick Mahomes,KC,QB,394.0,26.3,$28
3,4,Russell Wilson,SEA,QB,381.66,23.9,$26
4,5,Alvin Kamara,NO,RB,376.8,25.1,$36
5,6,Deshaun Watson,HOU,QB,375.09,23.4,$36
6,7,Kyler Murray,Unknown,QB,374.03,23.4,$23
7,8,Ryan Tannehill,TEN,QB,360.17,22.5,$6
8,9,Davante Adams,GB,WR,358.4,25.6,$41
9,10,Tom Brady,TB,QB,356.59,22.3,$20
10,11,Lamar Jackson,BAL,QB,342.21,22.8,$45
11,12,Dalvin Cook,MIN,RB,335.8,24.0,$48
12,13,Justin Herbert,LAC,QB,334.48,22.3,$1
13,14,Derrick Henry,TEN,RB,332.1,20.8,$22
14,15,Stefon Diggs,BUF,WR,328.6,20.5,$13
15,16,Tyreek Hill,KC,WR,327.9,21.9,$35
16,17,Kirk Cousins,MIN,QB,316.55,19.8,$10
17,18,Travis Kelce,KC,TE,312.72,20.8,$30
18,19,DeAndre Hopkins,Unknown,WR,286.8,17.9,$38
19,20,Calvin Ridley,ATL,WR,281.5,18.8,$21
20,21,Ben Roethlisberger,PIT,QB,281.19,18.7,$7
21,22,Darren Waller,LV,TE,278.6,17.4,$7
22,23,Matt Ryan,ATL,QB,274.63,17.2,$21
23,24,Justin Jefferson,MIN,WR,273.2,17.1,$1
24,25,Derek Carr,LV,QB,273.09,17.1,$2
25,26,DK Metcalf,SEA,WR,271.3,17.0,$6
26,27,David Montgomery,CHI,RB,264.8,17.7,$8
27,28,Tyler Lockett,SEA,WR,264.4,16.5,$19
28,29,Allen Robinson II,CHI,WR,262.9,16.4,$27
29,30,Matthew Stafford,LAR,QB,260.72,16.3,$8
30,31,Aaron Jones,GB,RB,256.9,18.3,$32
31,32,Adam Thielen,MIN,WR,254.0,16.9,$27
32,33,Baker Mayfield,CLE,QB,252.99,15.8,$5
33,34,Jonathan Taylor,IND,RB,252.8,16.9,$20
34,35,Mike Evans,TB,WR,248.6,15.5,$32
35,36,James Robinson,JAX,RB,248.4,17.7,UD
36,37,A.J. Brown,TEN,WR,246.5,17.6,$19
37,38,Robert Woods,LAR,WR,244.1,15.3,$22
38,39,Keenan Allen,LAC,WR,244.1,17.4,$17
39,40,Amari Cooper,DAL,WR,236.8,14.8,$21
40,41,Cam Newton,NE,QB,235.41,15.7,$16
