,Rank,Name,Team,Position,FPTS,AVG,Auction Price
0,1,Patrick Mahomes,KC,QB,429.9,25.3,$40
1,2,Josh Allen,BUF,QB,400.69,25.0,$47
2,3,Jalen Hurts,PHI,QB,372.03,24.8,$38
3,4,Austin Ekeler,LAC,RB,370.7,21.8,$55
4,5,Justin Jefferson,MIN,WR,368.32,21.7,$16
5,6,Joe Burrow,CIN,QB,360.95,22.6,$25
6,7,Christian McCaffrey,SF,RB,357.02,21.0,$58
7,8,Tyreek Hill,MIA,WR,346.2,20.4,$32
8,9,Davante Adams,LV,WR,334.5,19.7,$39
9,10,Josh Jacobs,LV,RB,326.3,19.2,$8
10,11,Travis Kelce,KC,TE,316.3,18.6,$39
11,12,Stefon Diggs,BUF,WR,315.6,19.7,$37
12,13,Geno Smith,SEA,QB,306.06,18.0,$16
13,14,Derrick Henry,TEN,RB,301.72,18.9,$45
14,15,CeeDee Lamb,DAL,WR,301.6,17.7,$34
15,16,A.J. Brown,PHI,WR,299.6,17.6,$34
16,17,Trevor Lawrence,JAX,QB,293.49,17.3,$16
17,18,Jared Goff,DET,QB,287.94,16.9,$2
18,19,Kirk Cousins,MIN,QB,286.11,16.8,$25
19,20,Saquon Barkley,NYG,RB,283.0,17.7,$39
20,21,Justin Fields,CHI,QB,282.56,18.8,$16
21,22,Nick Chubb,CLE,RB,281.4,16.6,$21
22,23,Daniel Jones,NYG,QB,278.95,17.4,$8
23,24,Justin Herbert,LAC,QB,268.87,15.8,$46
24,25,Amon-Ra St. Brown,DET,WR,267.6,16.7,$12
25,26,Tom Brady,TB,QB,264.72,15.6,$25
26,27,Jaylen Waddle,MIA,WR,259.2,15.2,$17
27,28,DeVonta Smith,PHI,WR,254.6,15.0,$6
28,29,Tony Pollard,DAL,RB,248.8,15.5,$9
29,30,Aaron Jones,GB,RB,246.6,14.5,$26
30,31,Rhamondre Stevenson,NE,RB,246.1,14.5,$7
31,32,Amari Cooper,CLE,WR,245.0,14.4,$8
32,33,Ja'Marr Chase,CIN,WR,242.4,20.2,$12
33,34,Christian Kirk,JAX,WR,241.9,14.2,$5
34,35,Joe Mixon,CIN,RB,239.5,17.1,$42
35,36,Aaron Rodgers,GB,QB,238.25,14.0,$35
36,37,Dalvin Cook,MIN,RB,237.8,14.0,$44
37,38,Lamar Jackson,BAL,QB,237.66,18.3,$40
38,39,Tyler Lockett,SEA,WR,237.3,14.8,$10
39,40,Tua Tagovailoa,MIA,QB,232.44,17.9,$16
40,41,Terry McLaurin,Unknown,WR,228.0,13.4,$10
41,42,Brandon Aiyuk,SF,WR,227.8,13.4,$8
42,43,DK Metcalf,SEA,WR,226.8,13.3,$14
43,44,Mike Evans,TB,WR,225.4,15.0,$20
44,45,Leonard Fournette,Unknown,RB,225.1,14.1,$8
45,46,Jamaal Williams,NO,RB,224.9,13.2,UD
46,47,Chris Godwin,TB,WR,222.8,14.9,$13
47,48,Najee Harris,PIT,RB,222.42,13.1,$50
48,49,Tee Higgins,CIN,WR,220.9,13.8,$25
49,50,Miles Sanders,CAR,RB,216.7,12.7,$5
50,51,Michael Pittman Jr.,IND,WR,215.5,13.5,$31
51,52,T.J. Hockenson,MIN,TE,215.4,12.7,$4
52,53,Garrett Wilson,NYJ,WR,214.7,12.6,$2
53,54,Derek Carr,NO,QB,213.86,14.3,$23
54,55,Alvin Kamara,NO,RB,211.7,14.1,$43
55,56,Russell Wilson,DEN,QB,207.52,13.8,$36
56,57,Jerry Jeudy,DEN,WR,204.2,13.6,$12
57,58,Travis Etienne Jr.,JAX,RB,203.1,11.9,$20
58,59,Kenneth Walker III,SEA,RB,202.5,13.5,$2
59,60,George Kittle,SF,TE,200.5,13.4,$13
60,61,Cooper Kupp,LAR,WR,200.4,22.3,$26
61,62,DJ Moore,CHI,WR,199.1,11.7,$26
62,63,James Conner,Unknown,RB,198.2,15.2,$24
63,64,Chris Olave,NO,WR,198.2,13.2,$4
64,65,Zay Jones,JAX,WR,198.1,12.4,UD
65,66,Dak Prescott,DAL,QB,198.0,16.5,$27
66,67,Jerick McKinnon,KC,RB,196.3,11.5,$1
67,68,Kyler Murray,Unknown,QB,191.84,17.4,$37
68,69,Marcus Mariota,PHI,QB,190.37,14.6,$8
69,70,D'Andre Swift,DET,RB,190.1,13.6,$42
70,71,Mark Andrews,BAL,TE,189.5,12.6,$31
71,72,Ezekiel Elliott,Unknown,RB,185.8,12.4,$11
72,73,JuJu Smith-Schuster,NE,WR,184.3,11.5,$16
73,74,Jakobi Meyers,LV,WR,180.3,12.9,$2
74,75,Adam Thielen,Unknown,WR,180.0,10.6,$9
75,76,Diontae Johnson,PIT,WR,179.7,10.6,$16
76,77,Drake London,ATL,WR,178.6,10.5,$9
77,78,Devin Singletary,HOU,RB,177.9,11.1,$6
78,79,David Montgomery,DET,RB,177.7,11.1,$23
79,80,Evan Engram,JAX,TE,176.9,10.4,UD
80,81,Mike Williams,LAC,WR,176.5,13.6,$6
81,82,Curtis Samuel,Unknown,WR,176.3,10.4,UD
82,83,Allen Lazard,NYJ,WR,174.8,11.7,$6
83,84,Gabe Davis,BUF,WR,171.6,11.4,$16
84,85,Andy Dalton,CAR,QB,168.53,12.0,UD
85,86,Raheem Mostert,MIA,RB,168.3,10.5,$4
86,87,Joshua Palmer,LAC,WR,168.3,10.5,$1
87,88,Jimmy Garoppolo,LV,QB,167.41,15.2,UD
88,89,Deebo Samuel,SF,WR,167.4,12.9,$35
89,90,Donovan Peoples-Jones,CLE,WR,167.1,9.8,$26
90,91,Tyler Boyd,CIN,WR,166.89,10.4,$4
91,92,AJ Dillon,GB,RB,166.6,9.8,$19
92,93,George Pickens,PIT,WR,166.5,9.8,$4
93,94,Antonio Gibson,Unknown,RB,164.9,11.0,$6
94,95,Dameon Pierce,HOU,RB,164.4,12.6,$14
95,96,Davis Mills,HOU,QB,164.34,11.0,$6
96,97,Christian Watson,GB,WR,164.1,11.7,$1
97,98,Keenan Allen,LAC,WR,164.0,16.4,$19
98,99,Courtland Sutton,DEN,WR,159.4,10.6,$18
99,100,Tyler Allgeier,ATL,RB,159.4,10.0,$1
100,101,Jacoby Brissett,Unknown,QB,158.54,9.9,$1
101,102,Jeff Wilson Jr.,MIA,RB,157.5,9.8,UD
