,Rank,Name,Team,Position,FPTS,AVG,Auction Price
0,1,Cooper Kupp,LAR,WR,439.5,25.9,$21
1,2,Josh Allen,BUF,QB,410.51,24.1,$42
2,3,Tom Brady,TB,QB,394.58,23.2,$17
3,4,Justin Herbert,LAC,QB,391.62,23.0,$31
4,5,Jonathan Taylor,IND,RB,371.1,21.8,$47
5,6,Patrick Mahomes,KC,QB,369.27,21.7,$47
6,7,Aaron Rodgers,GB,QB,359.15,22.4,$39
7,8,Davante Adams,GB,WR,344.3,21.5,$46
8,9,Matthew Stafford,LAR,QB,342.88,20.2,$28
9,10,Austin Ekeler,LAC,RB,342.8,21.4,$42
10,11,Deebo Samuel,SF,WR,338.72,21.2,$4
11,12,Dak Prescott,DAL,QB,332.07,20.8,$35
12,13,Justin Jefferson,MIN,WR,330.05,19.4,$6
13,14,Joe Burrow,CIN,QB,319.13,19.9,$20
14,15,Kirk Cousins,MIN,QB,307.13,19.2,$2
15,16,Ja'Marr Chase,CIN,WR,303.6,17.9,$7
16,17,Najee Harris,PIT,RB,300.7,17.7,$42
17,18,Mark Andrews,BAL,TE,300.1,17.7,$12
18,19,Jalen Hurts,PHI,QB,296.72,19.8,$25
19,20,Tyreek Hill,KC,WR,295.5,17.4,$49
20,21,Kyler Murray,Unknown,QB,287.61,20.5,$33
21,22,Joe Mixon,CIN,RB,286.9,17.9,$26
22,23,Stefon Diggs,BUF,WR,284.5,16.7,$18
23,24,Diontae Johnson,PIT,WR,274.4,17.2,$23
24,25,Carson Wentz,IND,QB,266.39,15.7,$3
25,26,Travis Kelce,KC,TE,262.8,16.4,$38
26,27,Mike Evans,TB,WR,262.5,16.4,$20
27,28,Keenan Allen,LAC,WR,256.8,16.1,$29
28,29,James Conner,Unknown,RB,255.7,17.0,$3
29,30,Hunter Renfrow,LV,WR,255.1,15.0,UD
30,31,Leonard Fournette,TB,RB,254.6,18.2,$3
31,32,Ryan Tannehill,TEN,QB,253.02,14.9,$23
32,33,Ezekiel Elliott,DAL,RB,252.02,14.8,$52
33,34,Russell Wilson,SEA,QB,250.69,17.9,$38
34,35,Mike Williams,LAC,WR,246.6,15.4,$1
35,36,Jaylen Waddle,MIA,WR,244.8,15.3,$3
36,37,DK Metcalf,SEA,WR,243.3,14.3,$16
37,38,Chris Godwin,TB,WR,242.4,17.3,$18
38,39,Tyler Lockett,SEA,WR,241.4,15.1,$22
39,40,Michael Pittman Jr.,IND,WR,237.6,14.0,$4
40,41,DJ Moore,CAR,WR,237.5,14.0,$16
41,42,Alvin Kamara,NO,RB,234.7,18.1,$60
42,43,Derek Carr,LV,QB,232.92,13.7,$8
43,44,CeeDee Lamb,DAL,WR,232.8,14.6,$30
44,45,Cordarrelle Patterson,ATL,RB,232.6,14.5,UD
45,46,Brandin Cooks,HOU,WR,231.8,14.5,$4
46,47,Aaron Jones,GB,RB,228.0,15.2,$37
47,48,Amon-Ra St. Brown,DET,WR,227.3,14.2,$30
48,49,Lamar Jackson,BAL,QB,227.16,18.9,$38
49,50,Antonio Gibson,Unknown,RB,227.1,14.2,$12
50,51,Josh Jacobs,LV,RB,226.0,15.1,$21
51,52,Marquise Brown,BAL,WR,224.3,14.0,$2
52,53,Darnell Mooney,CHI,WR,219.7,12.9,$1
53,54,Tee Higgins,CIN,WR,219.1,15.7,$8
54,55,Nick Chubb,CLE,RB,214.3,15.3,$35
55,56,Mac Jones,NE,QB,213.93,12.6,$5
56,57,Terry McLaurin,Unknown,WR,213.5,12.6,$34
57,58,Jimmy Garoppolo,SF,QB,212.4,14.2,$1
58,59,Damien Harris,NE,RB,210.1,14.0,$19
59,60,Dalton Schultz,DAL,TE,208.8,12.3,UD
60,61,Ben Roethlisberger,PIT,QB,208.7,13.0,$6
61,62,Taylor Heinicke,Unknown,QB,208.67,13.0,UD
62,63,D'Andre Swift,DET,RB,207.9,16.0,$18
63,64,Christian Kirk,Unknown,WR,207.29,12.2,UD
64,65,Dalvin Cook,MIN,RB,205.3,15.8,$53
65,66,Matt Ryan,ATL,QB,204.24,12.0,$12
66,67,Javonte Williams,DEN,RB,203.9,12.0,$9
67,68,Amari Cooper,DAL,WR,201.5,13.4,$23
68,69,Teddy Bridgewater,DEN,QB,201.16,14.4,$2
69,70,Adam Thielen,MIN,WR,198.8,15.3,$16
70,71,George Kittle,SF,TE,197.0,14.1,$20
71,72,Darrel Williams,KC,RB,196.0,11.5,$2
72,73,Melvin Gordon III,DEN,RB,195.1,12.2,$2
73,74,Derrick Henry,TEN,RB,194.25,24.3,$32
74,75,David Montgomery,CHI,RB,194.0,14.9,$13
75,76,Devin Singletary,BUF,RB,192.8,11.3,$2
76,77,Jared Goff,DET,QB,189.05,13.5,$1
77,78,Jakobi Meyers,NE,WR,185.85,11.6,$1
78,79,DeVonta Smith,PHI,WR,185.6,10.9,$6
79,80,AJ Dillon,GB,RB,184.6,10.9,$4
